# divergence-triage.tsv — the loop's memory of which divergent-copy candidates
# have already been JUDGED, so future iterations don't re-eyeball the same safe
# forks. Consumed by diff-divergent-fn.sh: `--scan` annotates each candidate with
# its status here; `--scan --new` shows ONLY untriaged (NEW) or re-drifted ones.
#
# Format (TAB-separated):  NAME <TAB> STATUS <TAB> SIM_AT_TRIAGE <TAB> REASON
#   STATUS  = SAFE   (a legitimate fork of copies that are MEANT TO STAY IN SYNC —
#                     so a later sim change IS signal that one drifted and wants a
#                     re-check; see SIM_AT_TRIAGE below)
#           | FORK   (an INTENTIONAL per-app copy that is SUPPOSED to keep diverging:
#                     two apps' fetch interceptors, two endpoints' getDoc against
#                     different tables, etc. These ARE real related copies (unlike an
#                     IGNORE collision), but their drift is EXPECTED and carries no bug
#                     signal — so they are hidden PERMANENTLY, never re-flagged on sim
#                     drift. Use FORK (not SAFE) when the two copies are deliberately
#                     different per context and re-reviewing them every scan is pure
#                     recurring noise. SIM is reference-only on FORK rows.)
#           | BUG    (open — fix it)
#           | IGNORE (NOT a divergent copy at all — a same-name COLLISION: N
#                     unrelated functions that merely share a generic identifier,
#                     e.g. `handler`, `txt`, `items`, `worker`. The scanner's
#                     brace extractor pairs their unrelated bodies and reports a
#                     coincidental overlap, so they can never be a "stale twin".)
#   SIM_AT_TRIAGE = the scan's body-overlap % when judged. If the live scan later
#     reports a DIFFERENT sim for a SAFE name, the fork drifted further since the
#     judgment — diff-divergent-fn.sh re-flags it as "SAFE↻ re-review", so a newly
#     introduced bug in a previously-safe copy can't hide behind an old verdict.
#     IGNORE and FORK rows are EXEMPT from this re-review: for IGNORE the collision
#     overlap is meaningless and drifts constantly; for FORK the drift is deliberate.
#     Both hide permanently regardless of sim. (SIM is recorded for reference only on
#     IGNORE and FORK rows.)
#   REASON  = one line on WHY it's safe / a collision (or what the bug is).
#
# Add a row the moment you finish judging a candidate. Keep reasons short.
# A name whose copies get CONSOLIDATED to identical simply stops appearing in the
# scan (no row needed); leave its row or delete it, both are harmless.
#
# NAME	STATUS	SIM	REASON
retryWithBackoff	SAFE	77	all 5 copies are hunter/worker/* (run on Johnny's Mac, not Vercel); each a deliberately-tuned backoff fork — different retryable-error sets, wait curves, log prefixes, optional throttle(); all functionally-correct bounded retry loops
jsonOk	SAFE	83	whitespace-only forks of one Response helper EXCEPT qss-stories intentionally adds Cache-Control:no-store (stories must not edge-cache) — correct, not a bug
innerHandler	SAFE	88	genuinely different request handlers sharing a wrapper name: nano-banana adds checkAccess+mode-routing, walden-design uses CORS_HEADERS, generate-plan renames the dispatch fn — intentional per-endpoint logic
handleGet	SAFE	50	different tables + different sb() signatures: nile/winchester use sb(url,{headers})->Response; qss-stories uses sb('GET',path)->rows with its own id-param/404 path — unrelated GET readers sharing a name
modelId	IGNORE	83	collision: scanner pairs unrelated bodies (referenceImages loop vs TTS voice_settings vs bare {modelId}); not a real divergent copy

escapeHtmlSafe	SAFE	0	main.js's inline 4-char escaper (& < > " no single-quote, String(str) not nullish-safe) — CONSOLIDATED onto shared html-escape.js escapeHtml (47e4b5b). No longer a divergent copy; locked by main-escape-delegation.test.mjs.
handler	IGNORE	93	collision: the default-export name in 58 api/* handlers — unrelated request handlers, never a shared helper
txt	IGNORE	66	collision: generic local for response text across 12 unrelated handlers (error string vs status vs migration note)
items	IGNORE	60	collision: 7 unrelated bodies (fence-collector loop vs menu-kbd arrow-key nav vs others) sharing the name
worker	IGNORE	50	collision: api/burma-essays pool-loop vs run-tests runner vs api-client — unrelated
projectRef	IGNORE	50	collision: deploy-rpc env-check vs setup-browser fallback vs translation manual-steps — unrelated
norm	IGNORE	50	collision: page.goto opts vs regex match vs trippy audio-band smoothing — totally unrelated
elapsed	IGNORE	83	collision: generic timing local across 8 anim/worker files — not a shared helper
tick	IGNORE	76	collision: per-app rAF loop closures (8 files) — each its own animation engine, intentionally distinct
raw	IGNORE	66	collision: generic local for raw input/response across 26 unrelated files
parseEmbedding	SAFE	75	three byte-identical hardened copies (semantic-search/scene-detection-core/cross-tier-core) — NaN/Infinity reject already in place; not divergent
walk	IGNORE	84	collision: generic recursive-walker name — sort-comparators.mjs + find-truthy-zero.mjs walk DIRECTORIES, while burma-script recovery/document-builder + translation walk a ProseMirror DOC tree; unrelated fns sharing a generic name
sourceFiles	SAFE	80	sort-comparators.mjs holds the ONE real repo file-collector (find-bool + find-nan now import it as thin aliases); find-truthy-zero.mjs keeps its own copy for its distinct scan config — a legit separate scanner, not a drifting copy
escHtml	FIXED	40	hunter/src/main.js used the DOM textContent->innerHTML escaper (no quote escaping) in href/src/class ATTRIBUTE contexts — attribute-injection XSS. Extracted DOM-free 5-char escHtml to hunter/src/html-escape.js (escapes & < > " '), imported in main.js. translation copy was already the strong 5-char form. Locked by hunter/src/html-escape.test.mjs.
classifyFile	IGNORE	83	collision: 5 per-gate file-classifiers sharing a name — each returns a gate-specific shape (BOOLEAN verdict vs {path,rel} vs NAIVE); 83% overlap is just the try{readFileSync} boilerplate. Unrelated fns.
selfTest	IGNORE	61	collision: 7 per-gate self-test harnesses sharing a name — each asserts its own gate fixtures (sort verdicts vs scan-site snippets vs status). Independent by design.
expect	SAFE	80	twin test-assert helper in find-inline-gemini-contents + find-naive-body-read; only the classifySource(src,base) vs classifySource(src) arity differs — each matches its own classifier signature.
notify	IGNORE	75	same-name collision across THREE unrelated pub-sub broadcasters (burma episode-config, scripts-library auth, translation auth); all iterate their OWN listener list with per-listener try/catch isolation — not a shared fn. Sim drifts as auth copies edit their body; IGNORE so it stops re-flagging.
syncStorageKeys	SAFE	72	per-module storage-key initializers (migrate-doc sets LS_DOC_FALLBACK/BLOCKS/MIGRATED; recovery sets LS_DISMISSED) — each recomputes only the keys ITS module references; not a stale twin
eatTemplate	SAFE	81	scanner-internal fork: strip-comments.mjs BLANKS all chars to preserve offsets; find-wrongtype-json-parse.mjs PRESERVES string content (string-aware blanker) — intentional, judged iter #16
validatePutBody	SAFE	72	burma-script-doc is legacy single-doc (no CAS); script-doc adds baseVersion compare-and-swap — intentional successor fork
getDoc	FORK	57	INTENTIONAL per-endpoint fork: burma-script-doc reads burma_script_docs single-row via idEq(DOC_ID); script-doc reads script_docs per-project via pgrValue(pid) + stalePayload. Different tables/data models, each with its correct sanitizer — drift is expected.
installApiFetchInterceptor	FORK	61	INTENTIONAL per-app fork: scripts-library (__slApiFetchPatched) does Supabase token-refresh + 401-retry; translation/Interpreter (__mcmApiFetchPatched) uses mcm_access_code header + plain token, no refresh (different auth models). Drift is expected.
signInWithPassword	SAFE	69	scripts-library(password-primary) vs translation(magic-link-primary) auth.js — two independent login systems, intentional architectural fork
sendMagicLink	FORK	70	INTENTIONAL auth fork: scripts-library is invite-only (shouldCreateUser:false + friendly "no account exists, ask an admin" message); translation uses magic-link as PRIMARY sign-up (allows create, raw error). Two independent auth systems — drift expected, reclassified SAFE->FORK so it stops re-flagging.
onAuthChange	SAFE	80	same auth fork; translation passes (_user,_profile) to handlers, scripts-library passes (_user) only — profile system exists only in translation
signOut	SAFE	60	same auth fork; translation also clears _profile/_profileError state
bootstrap	SAFE	63	same auth fork; translation also loads user_profiles row + subscribes profile
updatePassword	SAFE	83	same auth fork; near-identical, formatting/import-path (supa.js vs db.js) differences only
slug	IGNORE	66	name-collision: real slug() helper (burma-essays-text, reef-render) vs {slug} template refs (qss-worlds/script-projects/project-store/translation) vs unrelated getActive body (qss worlds.js) — extractor matched different constructs, not one copied fn
scanSource	IGNORE	85	name-collision: the loop's OWN gate scripts (find-*.mjs) each define a private scanSource(source) helper — 13 files, all in scripts/, not product code; extractor matched sibling infra copies, not a shipped divergent fn
handlePost	SAFE	55	three INDEPENDENT state-sync POST endpoints — nile-flights (single-row id), structure-board (slug-keyed PUBLIC team board, inline byte-validate per iter#23), winchester (shared validateStatePayload + expectedUpdatedAt concurrency 409). Each self-consistent; intentional per-tool fork, not one copied contract.
pick	IGNORE	57	name-collision: pick(arr) random-element helper (qss-character-card) vs menu-pick-by-index close+convert bodies (burma-script convert-menu/table) vs string-var `pick` reassignment (hunter main.js) vs unrelated early-return (translation) — extractor matched different constructs sharing the name, not a copied fn.
block	IGNORE	66	name-collision: `block` is a ubiquitous var/param name across burma-script + palau-script + commentbank modules (document-builder, chapter-frames, marks, slash-menu, build-blocks…) — extractor matched sibling bodies that merely share the identifier, not one divergent function.
ensureUniqueSlug	FORK	92	INTENTIONAL per-app fork: mapkeys reads readIndex().projects, scripts-library reads readIndex() (array store), translation is async via isSlugTaken(slug,excludeId) against a live DB. Same slug-dedup intent, three different storage backends — each self-consistent. Drift expected.
appendRevision	FORK	88	INTENTIONAL fork: api/liveblocks-webhook.js writes system-driven revisions (source=REVISION_SOURCE const, user_id=null — the webhook has no user context); api/script-doc.js passes caller-supplied source + userId. Different revision origins, each correct. Drift expected.
convertBlockToVo	FORK	50	INTENTIONAL per-menu fork: convert-menu retypes the host block to VO in place (tr + retypeHostToVo on selection.from); slash-menu routes through doConvertBlockToVo(state,dispatch,range) using the slash-command range, then refocuses. Different call surfaces, same intent.
done	IGNORE	57	name-collision: `done` is a generic callback/local var across 10 unrelated files (burma-script collab-sync-wait/blocks/slash-menu/table, mapkeys main, commentbank analyze, deploy-gate, translation main/manual-steps/media-flow). Not one copied fn.
next	IGNORE	83	name-collision: `next` is a ubiquitous ProseMirror/iterator/callback identifier across 19 files. Extractor matched sibling bodies sharing the name, not a divergent copy.
log	IGNORE	80	name-collision: `log` local logger/var across 4 unrelated modules. Not a shared fn.
